"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","468","RunFullAutomationFlow(String) [2] browser=edge","","2025-11-20","broken","2025-11-20","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","RunFullAutomationFlow"
"","4357","FullFlow()","","2025-11-20","broken","2025-11-20","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","FullFlow"
"","3401","fullFlow()","","2025-11-20","broken","2025-11-20","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","fullFlow"
"","14","FullFlow()","","2025-11-20","broken","2025-11-20","","com.vedha.project.selenium.RegisterOtpFastTest","com.vedha.project.selenium.RegisterOtpFastTest","FullFlow"
"","5807","registerLoginAndAnalyze()","","2025-11-20","broken","2025-11-20","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","registerLoginAndAnalyze"
"","57685","RunFullFlow()","","2025-11-20","broken","2025-11-20","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","RunFullFlow"
"This test verifies login page loads successfully and title matches expected UI text","5828","testLoginPageTitle()","","2025-11-19","passed","2025-11-19","","com.vedha.project.selenium.LoginTest","com.vedha.project.selenium.LoginTest","testLoginPageTitle"
"","31425","RunFullAutomationFlow(String) [1] browser=chrome","","2025-11-20","broken","2025-11-20","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","RunFullAutomationFlow"
"","10021","runFlow()","","2025-11-20","broken","2025-11-20","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","runFlow"
"","10520","FullFlow_Test()","","2025-11-20","broken","2025-11-20","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","FullFlow_Test"
"","22833","RunFlow()","","2025-11-20","failed","2025-11-20","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","RunFlow"
"","52883","RunFullAutomationFlow()","","2025-11-21","passed","2025-11-21","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","RunFullAutomationFlow"
"","8639","verifyLogin()","","2025-11-19","passed","2025-11-19","","com.vedha.project.selenium.LoginTest","com.vedha.project.selenium.LoginTest","verifyLogin"
"","19886","register_Otp_Login_Home_Flow()","","2025-11-19","broken","2025-11-19","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","register_Otp_Login_Home_Flow"
"","13183","register_Otp_Login_Home_Flow()","","2025-11-20","passed","2025-11-20","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","register_Otp_Login_Home_Flow"
"","12","fullFlow()","","2025-11-20","broken","2025-11-20","","com.vedha.project.selenium.FinalAutomationTest","com.vedha.project.selenium.FinalAutomationTest","fullFlow"
"","8823","registerAndLogin()","","2025-11-20","broken","2025-11-20","","com.vedha.project.selenium.RegisterOtpTest","com.vedha.project.selenium.RegisterOtpTest","registerAndLogin"
